SppName	Label	OttId	GbifId	ncbiId	Synonyms
Allactaga sibirica	Allactaga_sibirica_DIPODIDAE_RODENTIA	814883	gbif:2439490	ncbi:234626	Allactaga sibirica bulganensis,Allactaga sibirica ognevi,Dipus jaculus mongolica,Mus jaculus media,Allactaga sibirica altorum,Dipus brachyurus,Allactaga saltator dementiewi,Allactaga sibirica semideserta,Dipus alactaga,Dipus saltator,Allactaga grisescens,Dipus halticus,Allactaga mongolica longior,Allactaga suschkini,Dipus annulatus,Allactaga ruckbeili,Mus saliens
Allactaga toussi	Allactaga_toussi_DIPODIDAE_RODENTIA	164964	gbif:8217580	ncbi:1208731	
Allactaga williamsi	Allactaga_williamsi_DIPODIDAE_RODENTIA	164961	gbif:4262923	ncbi:1208730	Allactaga williamsi caprimulga,Allactaga williamsi schmidti,Allactaga williamsi laticeps
Allactodipus bobrinskii	Allactodipus_bobrinskii_DIPODIDAE_RODENTIA	85039	gbif:2439459	ncbi:35736	
Allenopithecus nigroviridis	Allenopithecus_nigroviridis_CERCOPITHECIDAE_PRIMATES	721471	gbif:2436620	ncbi:54135	Cercopithecus nigroviridis
Allocebus trichotis	Allocebus_trichotis_CHEIROGALEIDAE_PRIMATES	516007	gbif:2436445	ncbi:122248	Cheirogaleus trichotis
Allocricetulus eversmanni	Allocricetulus_eversmanni_CRICETIDAE_RODENTIA	753012	gbif:2439190	ncbi:329634	Cricetulus eversmanni,Cricetulus eversmanni beljaevi,Cricetulus eversmanni belajevi,Mesocricetus microdon,Cricetulus beljawi
Alouatta belzebul	Alouatta_belzebul_ATELIDAE_PRIMATES	1058654	gbif:2436655gbif:4267236	ncbi:30590	Alouatta nigerrima,Mycetes belzebul mexianae,Alouatta belzebul tapojozensis,Simia belzebul,Mycetes flavimanus,Simia beelzebub,Mycetes rufimanus
Alouatta caraya	Alouatta_caraya_ATELIDAE_PRIMATES	791697	gbif:2436652	ncbi:9502	Simia caraya,Simia straminea,Stentor niger,Mycetes barbatus
Alouatta guariba	Alouatta_guariba_ATELIDAE_PRIMATES	558069	gbif:7262055	ncbi:182256	Alouatta fusca
Alouatta macconnelli	Alouatta_macconnelli_ATELIDAE_PRIMATES	512634	gbif:7913455	ncbi:198115	Alouatta macconnelli,Alouatta insulanus
Alouatta palliata	Alouatta_palliata_ATELIDAE_PRIMATES	1012045	gbif:2436649	ncbi:30589	Alouatta palliata inconsonans,Alouatta palliata quichua,Alouatta palliata matagalpae,Alouatta palliata aequatorialis,Mycetes palliatus,Alouatta aequatorialis,Alouatta inclamax,Mycetes niger
Alouatta pigra	Alouatta_pigra_ATELIDAE_PRIMATES	558066	gbif:2436653	ncbi:182253	Alouatta palliata luctuosa,Mycetes villosus
Alouatta sara	Alouatta_sara_ATELIDAE_PRIMATES	814670	gbif:2436651	ncbi:121123	Alouatta seniculus sara
Alouatta seniculus	Alouatta_seniculus_ATELIDAE_PRIMATES	791699	gbif:2436648	ncbi:9503	Simia seniculus,Mycetes seniculus
Alticola albicaudus	Alticola_albicaudus_CRICETIDAE_RODENTIA	3608470	gbif:4265078	ncbi:1472669	Alticola acmaeus,Alticola albicauda
Alticola argentatus	Alticola_argentatus_CRICETIDAE_RODENTIA	118432	gbif:2438712	ncbi:400184	Alticola blanfordi lahulius,Alticola worthingtoni subluteus,Alticola argentata rosanovi,Alticola argentata shnitnikovi,Alticola villosa,Alticola gracilis,Microtus argurus,Alticola worthingtoni,Alticola longicauda,Arvicola severtzovi,Alticola phasma,Arvicola blanfordi
Alticola barakshin	Alticola_barakshin_CRICETIDAE_RODENTIA	118430	gbif:2438716	ncbi:400185	
Alticola lemminus	Alticola_lemminus_CRICETIDAE_RODENTIA	3608465	gbif:2438713	ncbi:1472668	
Alticola macrotis	Alticola_macrotis_CRICETIDAE_RODENTIA	910203		ncbi:98316	
Alticola montosa	Alticola_montosa_CRICETIDAE_RODENTIA	3608469	gbif:2438721	ncbi:1472670	Microtus imitator
Alticola olchonensis	Alticola_olchonensis_CRICETIDAE_RODENTIA	3608471	gbif:4265079	ncbi:1477902	
Alticola semicanus	Alticola_semicanus_CRICETIDAE_RODENTIA	480666	gbif:2438718	ncbi:347518	Alticola semicanus alleni
Alticola stoliczkanus	Alticola_stoliczkanus_CRICETIDAE_RODENTIA	7067202	gbif:2438722	ncbi:2184227	Microtus nanschanicus,Alticola stracheyi,Microtus cricetulus,Arvicola stracheyi,Microtus acrophilus,Microtus lama
Alticola strelzowi	Alticola_strelzowi_CRICETIDAE_RODENTIA	118428	gbif:2438719	ncbi:400186	Microtus strelzowi desertorum,Platycranius strelzowi depressus
Alticola tuvinicus	Alticola_tuvinicus_CRICETIDAE_RODENTIA	3608466	gbif:2438723	ncbi:1197750	
